,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7240152355264630062,6158,4069472,1015915,136234,14167
1,7250248848122318126,11614,1234694,41165,127695,6315
2,7254913587083218219,22,18890,0,95,59883
3,7246773564232207659,1399,284007,34250,30781,5875
4,7244884367116487963,62520,7592195,269347,309523,7313
5,7222044868128820522,27045,7107644,158522,49105,45734
6,7245367885072387374,15184,5702712,130765,103423,29210
7,7250328864004656392,2477,1134630,1208,42711,24635
8,7250248848122318126,11614,1234733,41165,127698,6315
9,7252393384923401515,31734,8882667,579335,240522,67073
10,7246773564232207659,1399,284025,34250,30782,5875
11,7244884367116487963,62520,7592200,269347,309523,7313
12,7254913587083218219,22,18927,0,95,59883
13,7222044868128820522,27045,7107651,158523,49106,45734
14,7245367885072387374,15184,5702725,130766,103424,29210
15,7240152355264630062,6158,4069557,1015930,136236,14167
16,7252393384923401515,31735,8883353,579366,240541,67073
17,7250248848122318126,11614,1234763,41165,127700,6315
18,7246773564232207659,1399,284036,34252,30782,5875
19,7254913587083218219,22,18962,0,95,59883
20,7244884367116487963,62520,7592209,269347,309523,7313
21,7245367885072387374,15184,5702733,130766,103425,29210
22,7240152355264630062,6158,4069625,1015941,136240,14167
23,7237425581032394030,258,222121,32920,3565,9869
24,7252393384923401515,31736,8884099,579400,240561,67073
25,7250248848122318126,11614,1234787,41165,127704,6315
26,7246773564232207659,1399,284048,34252,30783,5875
27,7254913587083218219,22,18993,0,95,59883
28,7244884367116487963,62520,7592218,269347,309524,7313
29,7222044868128820522,27045,7107675,158524,49106,45734
30,7240152355264630062,6158,4069703,1015955,136241,14167
31,7250238249459944750,5624,1051962,1123,65353,13934
32,7250248848122318126,11614,1234823,41166,127706,6315
33,7252770377724595498,7144,1911780,260666,351070,32134
34,7246773564232207659,1399,284055,34255,30783,5875
35,7244884367116487963,62521,7592235,269347,309524,7313
36,7249302522802834731,12959,2889848,95266,91461,6200
37,7249462181366877446,8485,1098628,17488,110543,24934
38,7250223701973749038,6993,733455,3210,50120,5711
39,7223785267537218862,16088,5326502,6310,259460,5867
40,7246773564232207659,1399,284068,34256,30784,5875
41,7254913587083218219,22,19037,0,95,59883
42,7248883883897376043,69812,6873952,311512,801560,10867
43,7247543631085866286,43484,7931335,116511,1257831,5234
44,7243132573583494446,11521,2728840,134527,49402,61078
45,7248214988542922030,374,224076,95344,24273,19067
46,7222044868128820522,27045,7107694,158525,49106,45734
47,7237425581032394030,258,222124,32920,3565,9869
48,7246773564232207659,1399,284081,34256,30785,5875
49,7254913587083218219,22,19072,0,95,59883
50,7252393384923401515,31741,8886529,579506,240626,67073
51,7244884367116487963,62521,7592261,269347,309524,7313
52,7222044868128820522,27045,7107705,158525,49106,45734
53,7245367885072387374,15184,5702810,130771,103427,29210
54,7226105313471089966,2687,698933,10937,4200,8800
55,7242634777709284654,22629,5637240,271619,528491,12134
56,7242241910016838954,906,287993,14949,35034,5875
57,7253150283117645098,2801,787693,45712,61346,157337
58,7240152355264630062,6158,4069988,1015995,136243,14167
59,7238965133274287406,688,89194,1,2916,34388
60,7245648965654596910,280,243279,2024,6975,86054
61,7228437349640899886,4915,1079988,7343,28039,11234
62,7245297545981775150,2733,974819,25061,11520,27677
63,7227504926187064622,491417,614513,7424,15158,14600
64,7246773564232207659,1399,284101,34260,30785,5875
65,7254913587083218219,22,19110,0,95,59883
66,7254259184492006702,118,26829,6930,1142,5898
67,7250248848122318126,11616,1234978,41171,127711,6315
68,7244884367116487963,62521,7592283,269347,309525,7313
69,7245367885072387374,15184,5702846,130772,103428,29210
70,7237425581032394030,258,222129,32922,3565,9869
71,7249302522802834731,12961,2890932,95286,91478,6200
72,7251564119164276010,1876,488606,10678,8366,22336
73,7250248848122318126,11616,1235007,41173,127711,6315
74,7233533212549483782,575,233074,74416,55342,17971
75,7248300636498890011,59867,7090050,31427,281290,48584
76,7246773564232207659,1399,284112,34260,30786,5875
77,7249462181366877446,8488,1098939,17491,110566,24934
78,7250238249459944750,5624,1051990,1123,65353,13934
79,7249302522802834731,12961,2891191,95297,91481,6200
80,7224598622044998958,26666,6369256,46410,489272,25034
81,7243132573583494446,11521,2729174,134544,49407,61078
82,7245283924727876907,8612,2147921,5432,12579,56500
83,7238664396527062318,523,61737,2,3936,10600
84,7248214988542922030,374,224181,95382,24294,19067
85,7245297545981775150,2733,974830,25061,11520,27677
86,7239805432259349806,9896,2135749,29531,101746,5734
87,7237425581032394030,258,222133,32925,3565,9869
88,7252393384923401515,31755,8890868,579696,240736,67073
89,7250248848122318126,11616,1235090,41176,127715,6315
90,7246773564232207659,1398,284135,34261,30788,5875
91,7244884367116487963,62522,7592316,269347,309525,7313
92,7232796005945593134,418,63059,1,1368,22367
93,7248214988542922030,374,224198,95390,24298,19067
94,7222044868128820522,27045,7107763,158527,49106,45734
95,7250524515266989314,2153,252384,987,22721,9067
96,7246773564232207659,1398,284150,34263,30788,5875
97,7243132573583494446,11521,2729325,134552,49413,61078
98,7249461775173766443,42188,11708695,8130,2024747,5084
99,7252770377724595498,7150,1912786,260781,351157,32134
100,7244884367116487963,62522,7592324,269347,309525,7313
101,7235523846617566506,31932,3854999,108803,728415,60975
102,7242627495357517102,6172,1237322,170253,40227,5167
103,7237497850085641515,7845,1401592,34791,93473,17476
104,7246773564232207659,1398,284161,34263,30789,5875
105,7249506052541107499,509,90511,0,6869,17234
106,7254157727717461290,85,39238,1770,698,5898
107,7252393384923401515,31764,8892658,579777,240784,67073
108,7245367885072387374,15184,5702936,130773,103428,29210
109,7244884367116487963,62522,7592329,269347,309525,7313
110,7222740289390169387,1626,743838,6711,5354,26865
111,7237425581032394030,258,222137,32925,3565,9869
112,7250248848122318126,11617,1235185,41176,127725,6315
113,7249461775173766443,42189,11709316,8131,2024810,5084
114,7252393384923401515,31767,8893590,579828,240814,67073
115,7246681467584105755,1733,358588,6397,2859,14558
116,7244884367116487963,62522,7592338,269347,309525,7313
117,7252770377724595498,7150,1913094,260806,351181,32134
118,7235523846617566506,31932,3855075,108804,728427,60975
119,7249302522802834731,12965,2892549,95322,91512,6200
120,7246773564232207659,1398,284175,34264,30789,5875
121,7228734249720139054,107,9016,17,84,30038
122,7246773564232207659,1398,284191,34264,30795,5875
123,7252393384923401515,31769,8894513,579867,240842,67073
124,7249461775173766443,42189,11709609,8131,2024832,5084
125,7244884367116487963,62522,7592346,269347,309525,7313
126,7250223701973749038,6996,733808,3212,50146,5711
127,7235668261495409962,957,98457,59882,30043,5177
128,7222044868128820522,27045,7107807,158530,49107,45734
129,7245648965654596910,280,243398,2027,6976,86054
130,7250248848122318126,11617,1235267,41176,127727,6315
131,7241572653792759082,145,112300,3132,1018,5875
132,7254157727717461290,85,39251,1770,698,5898
133,7244884367116487963,62522,7592357,269347,309525,7313
134,7245735479046573358,2996,53434,0,7814,6300
135,7222044868128820522,27045,7107821,158532,49107,45734
136,7249302522802834731,12965,2893071,95335,91524,6200
137,7247387079301369134,4281,2080531,24024,207023,5316
138,7247481761477741866,174,493546,35832,12109,12422
139,7249461775173766443,42192,11710158,8132,2024879,5084
140,7225092501646953770,439,15221,0,907,14117
141,7243132573583494446,11524,2729688,134563,49415,61078
142,7222044868128820522,27045,7107829,158533,49107,45734
143,7254157727717461290,85,39256,1770,698,5898
144,7245283924727876907,8612,2148000,5432,12579,56500
145,7252820205578063147,4578,155765,3486,50939,67478
146,7246773564232207659,1399,284221,34265,30803,5875
147,7236894142800973099,597,181904,17898,9331,5900
148,7237425581032394030,258,222148,32926,3565,9869
149,7249302522802834731,12967,2893626,95343,91535,6200
150,7245367885072387374,15184,5703007,130780,103429,29210
151,7250874275887090990,7230,1117068,127349,43699,60047
152,7255030068634766634,57,775,1,0,12500
153,7247387079301369134,4281,2080596,24025,207027,5316
154,7236431797872037163,11982,2437500,30204,73187,13094
155,7250223701973749038,6998,733918,3213,50155,5711
156,7245283924727876907,8612,2148022,5432,12579,56500
157,7242627495357517102,6174,1237596,170263,40234,5167
158,7245479869176597806,726,241236,70,22926,5641
159,7227576394312633642,39457,7586755,92630,523070,25934
160,7242634777709284654,22643,5639714,271717,528680,12134
161,7252517715888393514,791,110138,838,6608,7244
