,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7246773564232207659,1402,284309,34273,30835,5875
1,7252393384923401515,31792,8903732,580275,241046,67073
2,7250248848122318126,11625,1235703,41181,127755,6315
3,7244884367116487963,62522,7592453,269349,309529,7313
4,7245367885072387374,15185,5703104,130787,103429,29210
5,7247543631085866286,43491,7932466,116530,1257989,5234
6,7240152355264630062,6160,4071342,1016194,136276,14167
7,7239805432259349806,9896,2135878,29536,101747,5734
8,7252393384923401515,31796,8904773,580316,241075,67073
9,7250248848122318126,11625,1235765,41181,127761,6315
10,7248883883897376043,69833,6875913,311587,801811,10867
11,7244884367116487963,62522,7592471,269349,309529,7313
12,7247830360027958530,12088,868298,15835,49701,17346
13,7242634777709284654,22648,5641230,271765,528787,12134
14,7229831884811914498,11242,7977036,271644,189465,26700
15,7239856064768871722,2103,1116562,20973,35554,8367
16,7246773564232207659,1402,284347,34276,30839,5875
17,7244218237649505579,3681,1100393,122130,44012,19234
18,7250248848122318126,11627,1235832,41182,127767,6315
19,7252393384923401515,31798,8905761,580358,241104,67073
20,7222044868128820522,27046,7107921,158534,49108,45734
21,7236431797872037163,11982,2437568,30204,73187,13094
22,7244884367116487963,62522,7592490,269349,309529,7313
23,7237425581032394030,258,222171,32927,3565,9869
24,7246773564232207659,1402,284371,34277,30842,5875
25,7252393384923401515,31803,8906791,580398,241122,67073
26,7239805432259349806,9896,2135917,29537,101751,5734
27,7250248848122318126,11627,1235899,41183,127768,6315
28,7248300636498890011,59891,7092443,31432,281348,48584
29,7242627495357517102,6174,1237959,170268,40242,5167
30,7222044868128820522,27046,7107934,158534,49108,45734
31,7227504926187064622,491556,614695,7425,15163,14600
32,7253323710235430187,266,103766,12404,2734,5900
33,7239805432259349806,9896,2135930,29538,101752,5734
34,7250248848122318126,11628,1235980,41185,127772,6315
35,7222044868128820522,27047,7107952,158536,49108,45734
36,7244884367116487963,62522,7592529,269349,309530,7313
37,7249302522802834731,12976,2897329,95422,91622,6200
38,7245735479046573358,2996,53435,0,7814,6300
39,7236113399279652123,47526,7480929,521026,755653,62509
40,7246773564232207659,1402,284407,34279,30845,5875
41,7252393384923401515,31807,8908837,580496,241173,67073
42,7254157727717461290,85,39333,1776,699,5898
43,7237777387637722414,4,149930,1452,1974,121905
44,7244573316701375786,3880,1044605,287322,111583,22383
45,7244884367116487963,62522,7592557,269349,309530,7313
46,7245367885072387374,15188,5703192,130790,103435,29210
47,7251598273390054698,672,189908,17752,5303,6919
48,7242627495357517102,6175,1238063,170272,40242,5167
49,7235523846617566506,31935,3855707,108820,728493,60975
50,7249461775173766443,42212,11714758,8133,2025342,5084
51,7235668261495409962,957,98473,59894,30048,5177
52,7236431797872037163,11982,2437620,30204,73188,13094
53,7241572653792759082,145,112344,3136,1018,5875
54,7254591865217928475,5619,536360,2996,2755,60118
55,7227576394312633642,39459,7586949,92633,523075,25934
56,7250248848122318126,11628,1236215,41186,127781,6315
57,7222044868128820522,27047,7107987,158538,49108,45734
58,7249461775173766443,42216,11715238,8133,2025385,5084
59,7226829422505053483,16953,2629772,30460,387606,51106
60,7249302522802834731,12982,2898522,95453,91658,6200
61,7246773564232207659,1403,284438,34282,30861,5875
62,7245367885072387374,15188,5703221,130791,103436,29210
63,7250238249459944750,5625,1052143,1123,65359,13934
64,7250248848122318126,11629,1236315,41187,127782,6315
65,7243132573583494446,11529,2730780,134619,49432,61078
66,7246773564232207659,1403,284450,34283,30862,5875
67,7222044868128820522,27047,7108007,158538,49108,45734
68,7244884367116487963,62523,7592619,269349,309530,7313
69,7249150433166576942,8467,2262038,49882,191939,10234
70,7252770377724595498,7177,1916738,261244,351483,32134
71,7228437349640899886,4922,1081003,7350,28050,11234
72,7246773564232207659,1404,284465,34284,30865,5875
73,7240152355264630062,6161,4072121,1016310,136297,14167
74,7254259184492006702,118,26936,6973,1147,5898
75,7225661270194769194,717,320351,38909,1578,21900
76,7228437349640899886,4922,1081064,7351,28053,11234
77,7248300636498890011,59895,7093252,31434,281363,48584
78,7245297545981775150,2733,974938,25063,11520,27677
79,7251738641641327914,2020,301057,5,722,9287
