,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7250248848122318126,12002,1276886,42032,130116,6315
1,7248300636498890011,60238,7142491,31615,282691,48584
2,7249302522802834731,14189,3178040,102940,98493,6200
3,7222044868128820522,27075,7114303,158978,49167,45734
4,7246782708813188395,568,187109,32965,13550,5934
5,7236431797872037163,12032,2443239,30209,73285,13094
6,7252393384923401515,33214,9241747,606506,251284,67073
7,7231913938093427994,131823,5681863,126544,596110,44372
8,7246773564232207659,1444,294164,34856,32037,5875
9,7226105313471089966,2705,703394,10988,4227,8800
10,7237777387637722414,4,150244,1461,1982,121905
11,7242627747544337710,4850,456957,25192,34753,5700
12,7249018933230030123,17881,4204780,255075,110042,60094
13,7228763137481133354,1287,20065,1836,742,11834
14,7249461775173766443,42550,11802947,8211,2033236,5084
15,7253682532770794795,167,55384,7533,2625,6270
16,7239805432259349806,9940,2144018,29690,101884,5734
17,7233764074016984366,6485,828443,37362,120113,5967
18,7249302522802834731,14195,3179358,102984,98536,6200
19,7245283924727876907,8633,2155392,5447,12619,56500
20,7248300636498890011,60241,7142907,31617,282703,48584
21,7247480923216727298,1749,548359,6387,21647,46000
22,7250248848122318126,12004,1277025,42032,130132,6315
23,7237777387637722414,4,150244,1461,1982,121905
24,7246223792480062766,3964,982696,7054,9795,124249
25,7246773564232207659,1444,294218,34857,32052,5875
26,7247667412022086955,39,8302,15841,1382,7083
27,7252770377724595498,7608,1980703,270639,360173,32134
28,7247480923216727298,1749,548364,6387,21647,46000
29,7239805432259349806,9940,2144041,29690,101884,5734
30,7242634777709284654,23059,5745461,275924,537274,12134
31,7253682532770794795,168,55437,7538,2629,6270
32,7239805432259349806,9940,2144061,29690,101884,5734
33,7237777387637722414,4,150245,1461,1982,121905
34,7245283924727876907,8633,2155495,5447,12620,56500
35,7241572653792759082,145,113080,3224,1024,5875
36,7250248848122318126,12005,1277191,42034,130140,6315
37,7248883883897376043,70450,6942305,314701,808577,10867
38,7244884367116487963,62579,7604400,269680,309722,7313
39,7250874275887090990,7620,1175114,136166,45459,60047
40,7254157727717461290,119,46482,2138,871,5898
41,7245283924727876907,8633,2155540,5447,12620,56500
42,7252309637775609130,4979,1380433,40720,61743,5874
43,7226677141696531755,25991,3253243,199225,224143,10912
44,7237777387637722414,4,150245,1461,1982,121905
45,7239805432259349806,9940,2144086,29691,101884,5734
46,7241196673836404014,393,73615,39097,9602,5665
47,7250223701973749038,7170,751435,3361,51481,5711
48,7249302522802834731,14208,3183479,103095,98646,6200
49,7231677443558493446,0,3881634,148813,305917,5713
50,7243682431214341422,8376,2194387,302681,47206,5875
51,7232659654910823726,2369,425773,17308,4926,16021
52,7239385719511289130,34902,5542683,404465,350549,7367
53,7255311136197823790,1,817,0,8,63413
54,7233542107393314090,59,6185,24,56,10428
55,7252770377724595498,7608,1981037,270682,360204,32134
56,7252393384923401515,33252,9248353,607023,251480,67073
57,7239805432259349806,9940,2144147,29695,101885,5734
58,7233764074016984366,6485,828504,37368,120127,5967
59,7236894142800973099,599,183235,18197,9414,5900
60,7245283924727876907,8633,2155618,5447,12621,56500
61,7250874275887090990,7627,1175786,136256,45474,60047
62,7249462181366877446,8715,1135210,18017,113400,24934
63,7222994354410065198,24,4725,3171,218,18000
64,7236318784745704750,1969,380047,70412,7476,10234
65,7250248848122318126,12008,1277459,42036,130154,6315
66,7248300636498890011,60248,7144085,31619,282750,48584
67,7249461775173766443,42552,11804021,8211,2033352,5084
68,7241572653792759082,145,113084,3224,1024,5875
69,7235668261495409962,959,99017,60173,30125,5177
70,7248883883897376043,70454,6942729,314725,808655,10867
71,7239805432259349806,9940,2144177,29696,101885,5734
72,7222044868128820522,27074,7114487,158991,49169,45734
73,7250248848122318126,12008,1277538,42036,130156,6315
74,7248300636498890011,60249,7144258,31619,282755,48584
75,7239805432259349806,9940,2144208,29697,101885,5734
76,7241572653792759082,145,113086,3224,1024,5875
77,7249462181366877446,8717,1135425,18018,113414,24934
78,7245283924727876907,8633,2155701,5447,12622,56500
79,7237661488364670251,7194,2618942,30727,93057,12434
80,7222044868128820522,27074,7114508,158992,49169,45734
81,7239805432259349806,9941,2144232,29699,101886,5734
82,7233764074016984366,6485,828542,37370,120133,5967
83,7245283924727876907,8633,2155750,5447,12623,56500
84,7229033531551403306,1428,422057,45233,15763,5934
85,7237777387637722414,4,150245,1461,1982,121905
86,7240917037894225195,9367,4160536,9737,31351,64367
87,7228437349640899886,5021,1106785,7500,28502,11234
88,7244971130509888810,3198,1875133,20475,12563,13095
89,7246773564232207659,1444,294389,34870,32074,5875
90,7252393384923401515,33290,9255242,607507,251669,67073
91,7254157727717461290,119,46622,2142,874,5898
92,7245367885072387374,15226,5713045,132175,103620,29210
93,7239805432259349806,9941,2144255,29699,101886,5734
94,7245283924727876907,8633,2155804,5448,12623,56500
95,7253682532770794795,169,55644,7564,2638,6270
96,7222044868128820522,27074,7114577,158994,49169,45734
97,7254157727717461290,119,46651,2142,874,5898
98,7250248848122318126,12010,1277754,42041,130175,6315
99,7241572653792759082,145,113087,3224,1024,5875
100,7250874275887090990,7629,1177552,136452,45529,60047
101,7237777387637722414,4,150245,1461,1982,121905
102,7239805432259349806,9941,2144281,29700,101887,5734
103,7242627495357517102,6253,1257748,171029,40572,5167
104,7222044868128820522,27074,7114614,158996,49170,45734
105,7250248848122318126,12011,1277826,42043,130179,6315
106,7252998519559343406,882,430240,7369,5324,396834
107,7241572653792759082,145,113088,3224,1024,5875
108,7245283924727876907,8633,2155900,5448,12624,56500
109,7242634777709284654,23068,5747067,276011,537438,12134
110,7248214988542922030,409,257928,117792,26795,19067
111,7222044868128820522,27074,7114645,158997,49170,45734
112,7250422952485784874,1473,156232,11034,10553,5900
113,7250248848122318126,12011,1277883,42044,130182,6315
114,7252393384923401515,33310,9259726,607886,251826,67073
115,7239805432259349806,9941,2144325,29700,101887,5734
116,7241572653792759082,145,113088,3225,1024,5875
117,7237777387637722414,4,150245,1461,1982,121905
118,7245283924727876907,8633,2155956,5448,12625,56500
119,7222044868128820522,27074,7114665,158998,49173,45734
120,7228437349640899886,5022,1106920,7501,28506,11234
121,7246773564232207659,1446,294465,34879,32089,5875
122,7252393384923401515,33315,9260627,607969,251867,67073
123,7254157727717461290,119,46701,2145,874,5898
124,7237777387637722414,4,150247,1461,1982,121905
125,7239805432259349806,9941,2144353,29701,101887,5734
126,7245367885072387374,15227,5713353,132221,103623,29210
127,7240953260457119018,5046,735623,9999,74912,5200
128,7240917037894225195,9367,4160686,9737,31353,64367
129,7252309637775609130,4981,1380814,40734,61762,5874
130,7248300636498890011,60254,7145490,31626,282782,48584
131,7239805432259349806,9941,2144377,29702,101887,5734
132,7249462181366877446,8723,1136048,18024,113454,24934
133,7241572653792759082,145,113090,3228,1024,5875
