aweme_id,comment_count,digg_count,download_count,share_count,duration,hug_face_sntmt,my_sntmt
7241572653792759082,145,113176,3239,1024,5875,0.4963565692,0.625
7250248848122318126,12032,1280541,42096,130355,6315,0.5758316517,0.2
7249461775173766443,42594,11814896,8217,2034298,5084,0.4308324993,0.2
7252393384923401515,33492,9309351,611265,253392,67073,0.6423647225,0.3
7238721690073615659,4612,391017,1877,6936,7067,0.4588388205,0.5
7251211991409315115,48,14880,240,737,77230,0.6479734257,0.375
7222740289390169387,1650,749911,6796,5414,26865,0.6559314966,0.4
7246773564232207659,1451,295084,34932,32223,5875,0.4995729804,0.3
7248883883897376043,70548,6951992,315266,809670,10867,0.5623534799,0.1
7250328864004656392,2595,1184969,1271,44544,24635,0.5842198908,0.5
7245367885072387374,15238,5715929,132595,103651,29210,0.5089807928,0.2
7248300636498890011,60303,7155276,31667,283076,48584,0.6999348998,0.7
7249302522802834731,14380,3227484,104244,99719,6200,0.2090485632,0.4
7242634777709284654,23112,5756380,276509,538278,12134,0.8934920563,0.8888888889
7243234313767013658,1721,565079,6830,16789,9078,0.7007645965,0.5
7244884367116487963,62589,7605922,269734,309753,7313,0.5112145722,0.4
7247619902213754158,49722,7155496,42020,77873,57910,0.7195477605,0.5
7240917037894225195,9372,4161863,9744,31366,64367,0.6128634572,0.5
7246766412339875099,9377,4385810,16076,284708,198740,0.5273610234,0.5
7231999592735313194,11887,1562536,2110,225941,5734,0.6192888796,0.4
7247830360027958530,12318,883097,16186,50343,17346,0.396127671,0.6
7240533925506911531,11224,939010,10584,5654,11909,0.7251699328,0.7
7251779614970858798,9639,1534607,2679,11304,27400,0.6006489396,0.1
7252735661575277866,283,66401,18681,2238,7755,0.5252674401,0.2
7251415828401229098,453,143252,15727,4847,5920,0.7392133176,0.5
7254157727717461290,120,47486,2205,890,5898,0.6056811512,0.7
7250160388052995355,965,467961,31223,28544,55634,0.6472716391,0.6
7253150283117645098,2955,821499,47297,63813,157337,0.3098376215,0.6
7227830138031983914,20150,4055647,28566,211761,91184,0.3023057699,0.4
7237661488364670251,7195,2619617,30740,93073,12434,0.7649583995,0.5
7250223701973749038,7209,753139,3376,51576,5711,0.5121715009,0.5
7237909413707795755,1835,148407,434,1027,9589,0.8491066039,1
7254901954122632494,146,12205,0,82,89698,0.8078451753,0.7
7242627495357517102,6257,1259254,171097,40601,5167,0.5875111163,0.5
7239400521965079851,3830,361347,4029,24252,16044,0.7529509723,0.4
7253323710235430187,280,108112,13806,2872,5900,0.6039822876,0.7
7251259012216343850,1061,150381,23672,13783,5736,0.6857318044,0.4
7228437349640899886,5040,1108836,7512,28560,11234,0.8181702495,0.7
7227509177155898667,8130,1610618,126254,55471,5898,0.6032427549,0.6
7251738641641327914,2033,303205,5,732,9287,0.6108149052,0.3
7236318784745704750,1978,381399,70586,7499,10234,0.3994059682,0.2
7247543631085866286,43827,7989789,118251,1264429,5234,0.1856999755,0.1
7225623975924108586,7576,647717,234164,146766,35711,0.8999296606,0.8
7226516282848398635,2679,472693,52325,33873,13885,0.8231171012,0.7
7237289642515631402,28656,2181870,296019,574152,19343,0.5946489692,0.5
7222044868128820522,27075,7114303,158978,49167,45734,0.9058773637,0.7
7246782708813188395,568,187109,32965,13550,5934,0.6130696237,0.6
7236431797872037163,12032,2443239,30209,73285,13094,0.9003658772,0.5
7231913938093427994,131823,5681863,126544,596110,44372,0.1370942712,0.4
7226105313471089966,2705,703394,10988,4227,8800,0.8988809943,0.1
7242627747544337710,4850,456957,25192,34753,5700,0.1794306397,0.7
7249018933230030123,17881,4204780,255075,110042,60094,0.1882059276,0.2
7228763137481133354,1287,20065,1836,742,11834,0.6991739035,0.6
7253682532770794795,167,55384,7533,2625,6270,0.5869939744,0.5
7239805432259349806,9940,2144018,29690,101884,5734,0.4806922793,0.5
7233764074016984366,6485,828443,37362,120113,5967,0.5462397848,0.5714285714
7245283924727876907,8633,2155392,5447,12619,56500,0.5022239387,0.2
7246223792480062766,3964,982696,7054,9795,124249,0.2341577172,0.2
7247667412022086955,39,8302,15841,1382,7083,0.7139320672,0.25
7252770377724595498,7608,1980703,270639,360173,32134,0.8576261231,0.7142857143
7250874275887090990,7620,1175114,136166,45459,60047,0.7863002181,0.8
7226677141696531755,25991,3253243,199225,224143,10912,0.8761055171,0.8
7241196673836404014,393,73615,39097,9602,5665,0.9961073995,1
7243682431214341422,8376,2194387,302681,47206,5875,0.6733755469,0.6
7232659654910823726,2369,425773,17308,4926,16021,0.7567737758,0.7
7239385719511289130,34902,5542683,404465,350549,7367,0.999861908,1
7233542107393314090,59,6185,24,56,10428,0.8111690368,0.2857142857
7236894142800973099,599,183235,18197,9414,5900,0.7377826422,0.5
7249462181366877446,8715,1135210,18017,113400,24934,0.5544068813,0.7
7229033531551403306,1428,422057,45233,15763,5934,0.2010079793,0.4285714286
7244971130509888810,3198,1875133,20475,12563,13095,0.9000525355,0.9
7248214988542922030,409,257928,117792,26795,19067,0.5010246754,0.3
7250422952485784874,1473,156232,11034,10553,5900,0.463220489,0.3
7240953260457119018,5046,735623,9999,74912,5200,0.9025250554,0.6
7243773577290632494,4166,610653,55955,35983,5874,0.6246303618,0.3
7240152355264630062,6241,4116204,1024001,137551,14167,0.4146639585,0.4
7224475257736924418,31018,3783128,42675,37129,10967,0.5216422737,0.5
7230250608354266410,10191,1322842,49135,101415,5875,0.5738931894,0.2
7247263490082229546,2999,79913,13715,10035,13004,0.4389261901,0.4
7249594934125235498,464,125111,9362,15934,6000,0.5314643562,0.3
7250184128430214443,308,90605,2128,501,60331,0.2492579639,0.5
