,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7239805432259349806,9898,2136162,29542,101755,5734
1,7251415828401229098,393,131468,14320,4362,5920
2,7247387079301369134,4289,2081943,24044,207113,5316
3,7252393384923401515,31883,8925413,581378,241576,67073
4,7232679168662621486,460,75250,66965,7894,5804
5,7244884367116487963,62524,7592901,269353,309532,7313
6,7222044868128820522,27047,7108208,158557,49112,45734
7,7250223701973749038,7010,735076,3217,50230,5711
8,7225051545497308458,282,73265,3,5889,25134
9,7250248848122318126,11635,1237646,41212,127845,6315
10,7253102458984074542,17008,1460282,17422,24322,21088
11,7227830138031983914,19997,4022504,28482,210418,91184
12,7234772185548590337,48008,2978804,121994,135123,9544
13,7252770377724595498,7198,1921044,261874,351986,32134
14,7235523846617566506,31946,3856524,108834,728571,60975
15,7231677443558493446,0,3846541,148136,303466,5713
16,7244884367116487963,62524,7592917,269353,309532,7313
17,7250248848122318126,11635,1237695,41212,127846,6315
18,7246773564232207659,1407,284749,34303,30891,5875
19,7252393384923401515,31886,8926358,581431,241588,67073
20,7242634777709284654,22672,5646460,271952,529223,12134
21,7222044868128820522,27047,7108222,158557,49112,45734
22,7250223701973749038,7010,735135,3217,50236,5711
23,7252770377724595498,7199,1921202,261900,352006,32134
24,7252393384923401515,31887,8926846,581453,241598,67073
25,7250248848122318126,11638,1237747,41212,127847,6315
26,7246773564232207659,1407,284767,34303,30893,5875
27,7244884367116487963,62524,7592932,269353,309532,7313
28,7222044868128820522,27047,7108236,158558,49112,45734
29,7249302522802834731,13010,2906278,95646,91789,6200
30,7249462181366877446,8507,1101402,17530,110738,24934
31,7248300636498890011,59912,7095371,31435,281410,48584
32,7246773564232207659,1407,284777,34304,30894,5875
33,7222044868128820522,27047,7108245,158559,49112,45734
34,7251415828401229098,393,131520,14323,4364,5920
35,7244884367116487963,62524,7592945,269353,309532,7313
36,7254259184492006702,119,27024,7016,1160,5898
37,7251598273390054698,674,190120,17793,5314,6919
38,7247387079301369134,4289,2082047,24046,207118,5316
39,7249018933230030123,17795,4187271,253027,109488,60094
40,7246773564232207659,1407,284790,34304,30894,5875
41,7252393384923401515,31888,8927723,581497,241608,67073
42,7240152355264630062,6162,4073663,1016563,136340,14167
43,7250248848122318126,11639,1237840,41213,127852,6315
44,7244218237649505579,3682,1100500,122154,44014,19234
45,7222044868128820522,27047,7108261,158559,49112,45734
46,7244884367116487963,62524,7592956,269353,309532,7313
47,7247387079301369134,4289,2082068,24047,207120,5316
48,7250248848122318126,11640,1237891,41214,127855,6315
49,7240152355264630062,6162,4073729,1016575,136342,14167
50,7239805432259349806,9899,2136214,29542,101755,5734
51,7246773564232207659,1407,284796,34304,30894,5875
52,7244884367116487963,62524,7592968,269353,309532,7313
53,7228437349640899886,4926,1082155,7360,28070,11234
54,7238324918872444202,1454,1467398,25348,11530,7067
55,7249150433166576942,8468,2262587,49910,191953,10234
56,7246773564232207659,1407,284802,34304,30896,5875
57,7252393384923401515,31891,8928716,581556,241631,67073
58,7222044868128820522,27047,7108282,158563,49113,45734
59,7247263490082229546,2803,74832,12772,9396,13004
60,7240152355264630062,6162,4073780,1016585,136343,14167
61,7250248848122318126,11641,1237941,41214,127860,6315
62,7247387079301369134,4289,2082130,24047,207125,5316
63,7237425581032394030,258,222237,32934,3565,9869
64,7250248848122318126,11641,1238003,41215,127860,6315
65,7252393384923401515,31892,8929218,581587,241642,67073
66,7250223701973749038,7013,735312,3218,50245,5711
67,7244884367116487963,62524,7592995,269353,309535,7313
68,7231677443558493446,0,3846852,148146,303487,5713
69,7253784960971181355,1648,204470,34000,10277,5875
70,7252770377724595498,7209,1922303,262043,352136,32134
71,7222044868128820522,27047,7108294,158564,49113,45734
72,7250248848122318126,11642,1238065,41217,127863,6315
73,7252393384923401515,31893,8929721,581619,241653,67073
74,7246773564232207659,1407,284818,34304,30898,5875
75,7244884367116487963,62524,7593010,269353,309535,7313
76,7248973880721706282,3257,893784,17983,20224,6013
77,7248300636498890011,59915,7095770,31437,281424,48584
78,7242634777709284654,22677,5647622,271988,529323,12134
79,7249130935587785990,2199,327339,2580,1771,13768
